event_id,user_id,venue_id,city,country,event_photo,photo_gallery,video_gallery,start_time,end_time,cash_prize,event_type,prize_type,is_cash_prize_available,unlock_fee,unlock_fee_type,description,where_to_find_me,admission_cost,lat,lon,inserted_at,venue_name,venue_address,event_title,participant_nbr,min_scan_nbr,start_time_hours,timezone,start_time_period,duration,input_start_date,is_women_only,is_approval_required,website_link,whatsapp_number,weekly_schedule_frequency,event_image
7103,0.0,670,0,,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.BrzGVFMBwvxmjDE0WcPgDQHaFj%26pid%3D,,,2021-12-17 18:00:00,2021-12-18 11:00:00,20.0,,,0.0,0.0,0.0,,,0.00,50.0865,14.4202,2023-06-26 01:09:50,Black Angel's Bar,29 Staroměstské náměstí 110 00 Praha 1 Czechia,Prague Expat Friends,0.0,5.0,0.0,4,,0.0,0000-00-00,1.0,0.0,,0,0,
7104,0.0,660,0,,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.TNHdB0_ffOxFoCHvEi3CJQHaE8%26pid%3D,,,2021-12-17 18:00:00,2021-12-18 11:00:00,20.0,,,0.0,0.0,0.0,,,0.00,41.3684,2.19015,2023-06-26 01:09:50,W Barcelona,Passeig de Joan de Borbó 08039 Barcelona Spain,Barcelona Expat Friends,0.0,5.0,0.0,4,,0.0,0000-00-00,1.0,0.0,,0,0,
7105,0.0,661,0,,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.explicit.bing.net%2Fth%3Fid%3DOIP.WQgCKkqd1Xf4ovmdkWtFXAHaDt%26,,,2021-12-17 18:00:00,2021-12-18 11:00:00,20.0,,,0.0,0.0,0.0,,,0.00,48.8818,2.33745,2023-06-26 01:09:50,Lulu White Drinking Club,12 Rue Frochot 75009 Paris France,Paris Expat Friends,0.0,5.0,0.0,4,,0.0,0000-00-00,1.0,0.0,,0,0,
7106,0.0,662,0,,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOIP.f3HZ5eCbR7hV-J_i3jKZUAAAAA%26pid%3D,,,2021-12-18 00:00:00,2021-12-18 17:00:00,20.0,,,0.0,0.0,0.0,,,0.00,40.7033,-74.011,2023-06-26 01:09:50,The Dead Rabbit NYC,"30 Water Street New York, NY 10004 United States",New York Expat Friends,0.0,5.0,0.0,4,,0.0,0000-00-00,1.0,0.0,,0,0,
7107,0.0,664,0,,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.dz6DKvU0qvl3B9UWU4pfvQHaEa%26pid%3D,,,2021-12-17 19:00:00,2021-12-18 12:00:00,20.0,,,0.0,0.0,0.0,,,0.00,51.5142,-0.145458,2023-06-26 01:09:50,Carwash Nightclub,19 Dering Street London W1S 1AH United Kingdom,London Expat Friends,0.0,5.0,0.0,4,,0.0,0000-00-00,1.0,0.0,,0,0,
7108,0.0,652,0,,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.UaFnMJ-TG4_XiHG_FNjuQQHaE2%26pid%3D,,,2021-12-23 15:00:00,2021-12-24 08:00:00,20.0,,,0.0,0.0,0.0,,,0.00,25.0745,55.1294,2023-06-26 01:09:50,Bla Bla Dubai,5101 Messer Street Beach by Meraas Mall - Jumeirah Beach Residen,Dubai Expat Friends,0.0,5.0,0.0,4,,0.0,0000-00-00,1.0,0.0,,0,0,
7109,0.0,652,0,,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOIP.UaFnMJ-TG4_XiHG_FNjuQQHaE2%26pid%3D,,,2021-12-18 15:00:00,2021-12-19 08:00:00,20.0,,,0.0,0.0,0.0,,,0.00,25.0745,55.1294,2023-06-26 01:09:50,Bla Bla Dubai,5101 Messer Street Beach by Meraas Mall - Jumeirah Beach Residen,Sugar  Babies Dubai,0.0,5.0,0.0,4,,0.0,0000-00-00,1.0,0.0,,0,0,
7110,0.0,670,0,,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.1JR0s5TzSA6jhP6qDRmitQHaE8%26pid%3D,,,2021-12-17 18:00:00,2021-12-18 11:00:00,20.0,,,0.0,0.0,0.0,,,0.00,44.8139,20.4512,2023-06-26 01:09:50,Hype Belgrade Night Club,46 Karađorđeva 11000 Beograd Serbia,Sugar Babies Belgrade Serbia,0.0,5.0,0.0,4,,0.0,0000-00-00,1.0,0.0,,0,0,
7111,0.0,493,0,,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOIP.opplH1OVa_UlQ7HIM6DUaQHaE8%26pid%3D,,,2021-12-17 17:00:00,2021-12-18 10:00:00,20.0,,,0.0,0.0,0.0,,,0.00,50.4467,30.5111,2023-06-26 01:09:50,Club Rio,30/10 Bohdana Khmel'nyts'koho Street 02000 Kyiv Ukraine,Sugar Babies Kiev Ukraine,0.0,5.0,0.0,4,,0.0,0000-00-00,1.0,0.0,,0,0,
7112,0.0,666,0,,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOIP.-aDjxOUHzNHi6RmP8Xl1fwHaE7%26pid%3D,,,2021-12-18 03:00:00,2021-12-18 20:00:00,20.0,,,0.0,0.0,0.0,,,0.00,49.2797,-123.122,2023-06-26 01:09:50,The Roxy Cabaret,"932 Granville Street Vancouver, BC V6Z 1L2 Canada",Sugar  Babies Vancouver,0.0,5.0,0.0,4,,0.0,0000-00-00,1.0,0.0,,0,0,
